game_id,date,city,title,game_number,package_number,place_title,place,team,team_id,rank,rank_title,total,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,1,Ванси,1179150,,1 золотая пластинка,17,8,9,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,2,Колобки,1179144,,3 золотая пластинка,16.5,8,8.5,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,3,Kubachino,1179153,,1 золотая пластинка,15.5,8,7.5,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,4,Легенды Найт-сити,1179143,,Платиновая пластинка,15.5,9,6.5,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,5,Слон В.,1179149,,2 золотая пластинка.,15,9,6,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,6,Meta-Ersa,1222625,,Новички,14,8,6,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,7,Леди Мага,1179263,,Новички,10.5,5,5.5,,,,,,,,
019e44de-345e-70ec-9ef6-e407a400198b,2026-06-30T19:30:00,Баку,[music party] летние хиты BAKU,1,нормлетниехиты1,Paulaner Braühaus,8,"Паша, не пей!",1179170,,1 виниловая пластинка,8.5,3,5.5,,,,,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,1,Крабовладельческий строй,1179381,unattainable,Недосягаемые,34.5,7,5,6,6.5,6,4,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,2,Легенды Найт-сити,1179384,unattainable,Недосягаемые,31,5,5,5,6,6,4,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,3,Сельджан,1179588,,Новички,28,5,4,4,5,6,4,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,4,Ванси,1179394,rambo,Рэмбо,28,5,6,6,5,6,0,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,5,Колобки,1179383,unattainable,Недосягаемые,27.5,5,2,4,6.5,6,4,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,6,Шерлок,1179386,chuck,Чак Норрис,27,7,5,5,5,3,2,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,7,Byte Brawlers,1179385,unattainable,Недосягаемые,26.5,3,6,6,5.5,4,2,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,8,Adams Family,1179452,sergeant,Сержант,26,4,5,4,6,5,2,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,9,Полёт в никуда,1179425,lieutenant,Лейтенант,26,4,6,4,6,4,2,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,10,"паша, не пей",1224866,rambo,Рэмбо,22.5,5,2,3,5.5,5,2,,,,
019f1291-ce3b-714d-a179-e1667026c75e,2026-07-03T19:30:00,Баку,"Квиз, плиз! BAKU",138,классика138,Avenue,11,Бомбы Нереалки,1224865,,Новички,17.5,5,3,3,3.5,3,0,,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,1,Noldor,1179147,,2 золотая пластинка.,61,6,4,11,7,5,7,21,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,2,Колобки,1179144,,3 золотая пластинка,57.5,6,5,9,6,4.5,6,21,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,3,Ванси,1179150,,1 золотая пластинка,56.5,6,4.5,7,6,5,7,21,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,4,Легенды Найт-сити,1179143,,Платиновая пластинка,56,6,5.5,9,6.5,5,7,17,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,5,Лоразепам,1179152,,1 золотая пластинка,54,6,3,10,8,3,6,18,,,
019f1291-ceb9-7143-b83c-8aaea4001783,2026-07-10T19:30:00,Баку,[про кино и сериалы] BAKU,1,прокиноисериалы1,Avenue,6,Скрытый потанцевал,1179156,,3 виниловая пластинка,45.5,4,4,7,4.5,4,7,15,,,
