team_id,team,league_id,league,league_code,position,points,games,rank_title
1179383,Колобки,1,Классический,classic,1,8395,196,Недосягаемые
1179381,Крабовладельческий строй,1,Классический,classic,2,8376.5,160,Недосягаемые
1179384,Легенды Найт-сити,1,Классический,classic,3,8193,164,Недосягаемые
1179382,Noldor,1,Классический,classic,4,7969.5,160,Недосягаемые
1179385,Byte Brawlers,1,Классический,classic,5,6346.5,147,Недосягаемые
1179386,Шерлок,1,Классический,classic,6,5859,147,Чак Норрис
1179387,"Да, Посол ты!",1,Классический,classic,7,4375.5,115,Чак Норрис
1179388,"Фуад, возле дома твоего",1,Классический,classic,8,4342,101,Чак Норрис
1179389,Слон В.,1,Классический,classic,9,3486.5,74,Чак Норрис
1179390,Bosco di Badam,1,Классический,classic,10,3070,72,Чак Норрис
1179391,Team Rocket,1,Классический,classic,11,2708.5,62,Чак Норрис
1179392,Культур-мультур,1,Классический,classic,12,2550.5,59,Чак Норрис
1179394,Ванси,1,Классический,classic,13,2108,52,Чак Норрис
1179393,ToBeContinued,1,Классический,classic,14,1771.5,58,Рэмбо
1179395,Littlestitious,1,Классический,classic,15,1546.5,44,Рэмбо
1179396,Два балла за раунд,1,Классический,classic,16,1512,37,Рэмбо
1179397,Полный Пи,1,Классический,classic,17,1511,49,Рэмбо
1224866,"паша, не пей",1,Классический,classic,18,1356,30,Рэмбо
1179398,Незнакомцы,1,Классический,classic,19,1279,31,Рэмбо
1179400,Все Свои,1,Классический,classic,20,1053.5,32,Рэмбо
1179401,Где Ёж?,1,Классический,classic,21,972,23,Генерал
1179402,Без шансов,1,Классический,classic,22,895,29,Генерал
1179403,Сказки Дедушки Приуса,1,Классический,classic,23,856.5,23,Генерал
1179404,ЗОЖкин Кот,1,Классический,classic,24,807.5,18,Генерал
1179405,Король и Шут и мы,1,Классический,classic,25,800,21,Генерал
1179407,Скрытый потанцевал,1,Классический,classic,26,766,17,Генерал
1179406,La Мышь,1,Классический,classic,27,729,17,Генерал
1179410,Как приручить Драко,1,Классический,classic,28,603,13,Генерал
1179408,GeekBrains,1,Классический,classic,29,590,23,Генерал
1179409,Ширин чай,1,Классический,classic,30,574.5,19,Генерал
1179414,Лоразепам,1,Классический,classic,31,554,12,Генерал
1179411,KiSS,1,Классический,classic,32,533,13,Генерал
1179412,Агата Крести,1,Классический,classic,33,532,21,Генерал
1179418,Белочки,1,Классический,classic,34,502.5,16,Генерал
1179413,Mai Tai,1,Классический,classic,35,492,21,Лейтенант
1179416,Узники Алкобара,1,Классический,classic,36,485,11,Лейтенант
1260626,Alt+F4,1,Классический,classic,37,468,13,Лейтенант
1179415,Философские дамы,1,Классический,classic,38,460,11,Лейтенант
1179417,Гейши,1,Классический,classic,39,421,16,Лейтенант
1179419,Blue water,1,Классический,classic,40,400,15,Лейтенант
1179421,Kubachino,1,Классический,classic,41,394.5,14,Лейтенант
1179420,Они убили Кенни,1,Классический,classic,42,357,12,Лейтенант
1179422,KukuBaku,1,Классический,classic,43,355,11,Лейтенант
1179423,Вот эти ребята,1,Классический,classic,44,342.5,13,Лейтенант
1179434,Позже придумаем,1,Классический,classic,45,331.5,9,Лейтенант
1179437,Сочные дальневосточные,1,Классический,classic,46,321.5,11,Лейтенант
1179424,Остатки сладки,1,Классический,classic,47,311,10,Лейтенант
1179426,Штрих-коты,1,Классический,classic,48,294,10,Лейтенант
1179451,Бусидо,1,Классический,classic,49,287,8,Лейтенант
1179427,Dream Team,1,Классический,classic,50,284.5,9,Лейтенант
1179428,Молодые Перспективные,1,Классический,classic,51,284,11,Лейтенант
1179429,Monopolisti,1,Классический,classic,52,276.5,10,Лейтенант
1179430,Ты горишь как ягода малинка,1,Классический,classic,53,260,6,Лейтенант
1179431,Нымыхи ТиАВ,1,Классический,classic,54,249,10,Сержант
1179452,Adams Family,1,Классический,classic,55,248.5,5,Сержант
1179432,"Догоняй, кетчуп!",1,Классический,classic,56,245.5,8,Сержант
1179433,Ведуньи,1,Классический,classic,57,236,6,Сержант
1179435,Xirdalan FC,1,Классический,classic,58,226,9,Сержант
1179436,Кот Везде$сущий,1,Классический,classic,59,224,8,Сержант
1179438,The Mamas and the Papas,1,Классический,classic,60,212,8,Сержант
1179439,Надо подумать,1,Классический,classic,61,211,6,Сержант
1179440,Аутисты на аутсорсе,1,Классический,classic,62,207.5,5,Сержант
1179441,Обстановка по кайфу,1,Классический,classic,63,202,5,Сержант
1179442,Эклер и ребята,1,Классический,classic,64,201,6,Сержант
1179443,Skillbox,1,Классический,classic,65,193,7,Сержант
1179444,Дамблдурочки,1,Классический,classic,66,186,5,Сержант
1179445,Примерные сестры,1,Классический,classic,67,184.5,6,Сержант
1179446,Драко с Милфой,1,Классический,classic,68,178,4,Сержант
1179447,Снеггопад,1,Классический,classic,69,174.5,4,Сержант
1179448,Sky Crew,1,Классический,classic,70,170.5,4,Сержант
1179449,iikOshniki,1,Классический,classic,71,163,6,Сержант
1179450,Не придумали,1,Классический,classic,72,155,5,Сержант
1179588,Сельджан,1,Классический,classic,73,146.5,4,Сержант
1179453,Коллеги по цеху,1,Классический,classic,74,145,6,Сержант
1179455,Кавабанга,1,Классический,classic,75,142.5,5,Сержант
1179454,У нас было название,1,Классический,classic,76,142.5,6,Сержант
1179456,Ветер перемен,1,Классический,classic,77,123,4,Сержант
1179457,Занесенные ветром,1,Классический,classic,78,122.5,5,Сержант
1179458,мы к вам заехали на час,1,Классический,classic,79,117,2,Сержант
1179459,А мы так и думали,1,Классический,classic,80,116,4,Сержант
1179460,Закон Мёрфи,1,Классический,classic,81,113,3,Сержант
1286111,"Риадик, иди кушать",1,Классический,classic,82,113,3,Сержант
1179461,Такая хурма,1,Классический,classic,83,109,4,Сержант
1179462,Пирожки с Мариной,1,Классический,classic,84,107,3,Сержант
1179463,Low Poly,1,Классический,classic,85,106,3,Сержант
1179464,Дети маминой подруги,1,Классический,classic,86,106,3,Сержант
1179465,Камон Эврибади,1,Классический,classic,87,104.5,3,Сержант
1228159,Pickinass,1,Классический,classic,88,103,2,Сержант
1179466,Маринованные бобры,1,Классический,classic,89,98,3,
1179467,Кот Бегемот,1,Классический,classic,90,94,4,
1179468,Отряд Дамблдора,1,Классический,classic,91,93,4,
1179469,Кубусь Пухатек,1,Классический,classic,92,92.5,2,
1179470,НеВалдис Пельш,1,Классический,classic,93,92,2,
1179471,Назад в будущее,1,Классический,classic,94,91,2,
1179472,Team Раки,1,Классический,classic,95,89.5,2,
1179473,Так и было задумано,1,Классический,classic,96,89,4,
1179474,BALAGAN,1,Классический,classic,97,87,3,
1179475,Teatr o2,1,Классический,classic,98,85,3,
1179477,Кусь!,1,Классический,classic,99,84,4,
1179476,Подлизерин,1,Классический,classic,100,84,3,
1179478,Докторская колбасня,1,Классический,classic,101,83,3,
1179479,Каштан,1,Классический,classic,102,83,3,
1179480,Бегущие с корабля,1,Классический,classic,103,79.5,3,
1179481,Мимо проходили,1,Классический,classic,104,79,2,
1179482,QuizMates,1,Классический,classic,105,78.5,2,
1179483,Мансарда 13,1,Классический,classic,106,77,2,
1179485,Vicious,1,Классический,classic,107,76,2,
1179484,Степашка и Ко.,1,Классический,classic,108,76,3,
1179486,XOD VER,1,Классический,classic,109,75.5,2,
1179487,Мокрые бандиты,1,Классический,classic,110,75,2,
1179488,Амур,1,Классический,classic,111,74.5,2,
1179489,telepuziki,1,Классический,classic,112,74,3,
1179490,Прыжок с подвыподвертом,1,Классический,classic,113,74,4,
1179491,Intel,1,Классический,classic,114,73,2,
1179492,New Zeon,1,Классический,classic,115,71,2,
1179495,Places&Faces,1,Классический,classic,116,71,2,
1179494,Стабильная сингулярность,1,Классический,classic,117,71,3,
1179493,Трое в лодке не считая Васьки,1,Классический,classic,118,71,3,
1179496,Гарри Поттер и бал монголов,1,Классический,classic,119,70,2,
1179497,Дарвин был против,1,Классический,classic,120,69.5,2,
1179498,"Пох##, пляшем",1,Классический,classic,121,69,2,
1179499,КОТОПЁС,1,Классический,classic,122,67.5,4,
1179501,10 способов бросить бегать,1,Классический,classic,123,67,2,
1179500,Кайфожорики,1,Классический,classic,124,67,2,
1179502,ZOOMers,1,Классический,classic,125,66,3,
1179503,Непорочное Объятие,1,Классический,classic,126,65,5,
1179506,Losers,1,Классический,classic,127,63,3,
1179505,Казахи в Баку,1,Классический,classic,128,63,2,
1179504,Последние из англикан,1,Классический,classic,129,63,2,
